region,category,parameter,mode,powertrain,year,unit,value,percentage
Australia,Historical,EV stock share,Cars,EV,2011,percent,350,"35000,00%"
Australia,Historical,EV sales share,Cars,EV,2011,percent,789.999.961.853,"78999996185300,00%"
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,3,"300,00%"
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,7,"700,00%"
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,62,"6200,00%"
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,48,"4800,00%"
Australia,Historical,EV sales share,Cars,EV,2012,percent,61,"6100,00%"
Australia,Historical,EV stock share,Cars,EV,2012,percent,8,"800,00%"
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,9.999.999.776.483,"999999977648300,00%"
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,1,"100,00%"
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,9,"900,00%"
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,2,"200,00%"
Australia,Historical,EV stock share,Cars,EV,2013,percent,18.999.999.389.052,"1899999938905200,00%"
Australia,Historical,EV sales share,Cars,EV,2013,percent,13.000.000.268.221,"1300000026822100,00%"
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,10.999.999.940.395,"1099999994039500,00%"
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,1.300.000.003.539,"130000000353900,00%"
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,1.300.000.003.539,"130000000353900,00%"
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,10,"1000,00%"
Australia,Historical,EV sales share,Cars,EV,2014,percent,34.999.998.752,"3499999875200,00%"
Australia,Historical,EV stock share,Cars,EV,2014,percent,109.999.999.404,"10999999940400,00%"
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,5,"500,00%"
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,1,"100,00%"
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,150,"15000,00%"
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,3,"300,00%"
Australia,Historical,EV stock share,Cars,EV,2015,percent,46,"4600,00%"
